"","id","statistic","p.value","r.squared","adj.r.squared","sigma","df","logLik","AIC","BIC","deviance","df.residual","nobs","term","estimate","std.error"
"44","5",5.67960386613072,1.75166269886715e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)5",9.2391516267994e-07,1.62672465273422e-07
"45","5",5.81478588137632,8.07377360560608e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)7",1.6442513293234e-10,2.82770743904712e-11
"46","5",5.82335665593236,7.68269971726645e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)9",3.75524287871824e-15,6.44858816073494e-16
"47","5",603.100759054065,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Intercept)",10.6647471863116,0.0176831931086253
"48","5",20649.6455129897,0,0.994993626513842,0.994945441975958,0.0577866244266082,10,1509.19139091986,-2994.38278183971,-2934.9042365219,3.46952642716412,1039,1050,NA,NA,NA
"49","7",-13.8600845758882,2.59647504081034e-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)4",-8.83686835808046e-05,6.37576799022828e-06
"50","7",-13.6345649610393,3.67691530858191e-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)6",-3.61498949874014e-08,2.65134201866356e-09
"51","7",-13.2992915199603,1.78819880183903e-37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)8",-2.21223025489836e-12,1.66341962771334e-13
"52","7",-13.0385211866512,3.49890590950018e-36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)2",-0.0244071490058408,0.00187192616834713
"53","7",-12.9131430034241,1.44005962864286e-35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)10",-1.09595809189173e-17,8.48715213330419e-19
"54","7",9.05820163822939,6.10539428345567e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)1",0.0985020270700547,0.0108743469183039
"55","7",13.1119914565833,1.52019241156746e-36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)9",7.53555965752704e-15,5.74707486843548e-16
"56","7",13.4738050470288,2.38792182385429e-38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)7",3.61981906455266e-10,2.68656036800153e-11
"57","7",13.7497880991356,9.52774086042756e-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)3",0.00203122750407273,0.000147727913290564
"58","7",13.7752698966248,7.0603329709769e-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)5",2.2672266945408e-06,1.64586734891947e-07
"59","7",532.749270016963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Intercept)",10.8795300379105,0.020421482769116
